Treatment,Plant,YII,
1,1,0,
1,1,0.753,
1,1,0,
1,2,0.309,
1,2,0,
1,2,0,
1,3,0.672,
1,3,0.479,
1,3,0.652,
1,4,0.832,
1,4,0.525,
1,4,0,
1,5,0,
1,5,0,
1,5,0.478,
1,6,0.791,
1,6,0.805,
1,6,0,
2,1,0,
2,1,0,
2,1,0.71,
2,2,0.804,
2,2,0,
2,2,0.59,
2,3,0,
2,3,0.746,
2,3,0,
2,4,0,
2,4,0.724,
2,4,0.627,
2,5,0,
2,5,0.74,
2,5,0.792,
2,6,0,
2,6,0.829,
2,6,0.79,
4,1,0.472,
4,1,0,
4,1,0.77,
4,2,0.337,
4,2,0.35,
4,2,0.79,
4,3,0.712,
4,3,0,
4,3,0.615,
4,4,0.298,
4,4,0.447,
4,4,0.831,
4,5,0.389,
4,5,0.748,
4,5,0.822,
4,6,0,
4,6,0.484,
4,6,0.815,
4,7,0.863,
4,7,0.83,
4,7,0.82,
4,8,0.569,
4,8,0.701,
4,8,0.826,
4,9,0,
4,9,0.831,
4,9,0.848,
4,10,0,
4,10,0.414,
4,10,0.814,
4,11,0.469,
4,11,0,
4,11,0.811,
4,12,0.578,
4,12,0.863,
4,12,0.804,
6,1,0.517,
6,1,0.667,
6,1,0.589,
6,2,0,
6,2,0.686,
6,2,0.667,
6,3,0,
6,3,0.807,
6,3,0.808,
6,4,0,
6,4,0,
6,4,0,
6,5,0,
6,5,0.742,
6,5,0.555,
6,6,0.81,
6,6,0.806,
6,6,0.775,
6,7,0,
6,7,0.613,
6,7,0.79,
6,8,0.815,
6,8,0,
6,8,0.793,
6,9,0.718,
6,9,0.809,
6,9,0.838,
6,10,0,
6,10,0,
6,10,0.786,
6,11,0,
6,11,0,
6,11,0,
6,12,0.847,
6,12,0,
6,12,0.813,
,,,
,,,
,,,
,,,
,,,
,,,
