Date,Day,Treatment,Plant_Num,Plant Size,YII
3/22/2024,0,1,1,L,0.773
3/22/2024,0,1,1,L,0.764
3/22/2024,0,1,1,L,0.785
3/22/2024,0,1,2,L,0.804
3/22/2024,0,1,2,L,0.775
3/22/2024,0,1,2,L,0.762
3/22/2024,0,1,3,M,0.803
3/22/2024,0,1,3,M,0.773
3/22/2024,0,1,3,M,0.754
3/22/2024,0,1,4,M,0.789
3/22/2024,0,1,4,M,0.796
3/22/2024,0,1,4,M,0.796
3/22/2024,0,1,5,S,0.776
3/22/2024,0,1,5,S,0.821
3/22/2024,0,1,5,S,0.783
3/22/2024,0,1,6,S,0.858
3/22/2024,0,1,6,S,0.815
3/22/2024,0,1,6,S,0.778
3/22/2024,0,2,1,L,0.804
3/22/2024,0,2,1,L,0.813
3/22/2024,0,2,1,L,0.778
3/22/2024,0,2,2,S,0.815
3/22/2024,0,2,2,S,0.729
3/22/2024,0,2,2,S,0.803
3/22/2024,0,2,3,S,0.852
3/22/2024,0,2,3,S,0.787
3/22/2024,0,2,3,S,0.762
3/22/2024,0,2,4,M,0.758
3/22/2024,0,2,4,M,0.785
3/22/2024,0,2,4,M,0.819
3/22/2024,0,2,5,L,0.835
3/22/2024,0,2,5,L,0.786
3/22/2024,0,2,5,L,0.807
3/22/2024,0,2,6,M,0.798
3/22/2024,0,2,6,M,0.789
3/22/2024,0,2,6,M,0.793
3/22/2024,0,4,1,M,0.85
3/22/2024,0,4,1,M,0.796
3/22/2024,0,4,1,M,0.771
3/22/2024,0,4,2,S,0.804
3/22/2024,0,4,2,S,0.803
3/22/2024,0,4,2,S,0.827
3/22/2024,0,4,3,M,0.805
3/22/2024,0,4,3,M,0.806
3/22/2024,0,4,3,M,0.778
3/22/2024,0,4,4,M,0.81
3/22/2024,0,4,4,M,0.795
3/22/2024,0,4,4,M,0.798
3/22/2024,0,4,5,L,0.814
3/22/2024,0,4,5,L,0.782
3/22/2024,0,4,5,L,0.766
3/22/2024,0,4,6,S,0.863
3/22/2024,0,4,6,S,0.844
3/22/2024,0,4,6,S,0.803
3/22/2024,0,4,7,L,0.805
3/22/2024,0,4,7,L,0.809
3/22/2024,0,4,7,L,0.783
3/22/2024,0,4,8,S,0.833
3/22/2024,0,4,8,S,0.787
3/22/2024,0,4,8,S,0.793
3/22/2024,0,4,9,L,0.818
3/22/2024,0,4,9,L,0.793
3/22/2024,0,4,9,L,0.797
3/22/2024,0,4,10,S,0.81
3/22/2024,0,4,10,S,0.797
3/22/2024,0,4,10,S,0.773
3/22/2024,0,4,11,L,0.802
3/22/2024,0,4,11,L,0.815
3/22/2024,0,4,11,L,0.794
3/22/2024,0,4,12,M,0.787
3/22/2024,0,4,12,M,0.797
3/22/2024,0,4,12,M,0.78
3/22/2024,0,6,1,S,0.844
3/22/2024,0,6,1,S,0.783
3/22/2024,0,6,1,S,0.797
3/22/2024,0,6,2,M,0.818
3/22/2024,0,6,2,M,0.86
3/22/2024,0,6,2,M,0.805
3/22/2024,0,6,3,M,0.821
3/22/2024,0,6,3,M,0.789
3/22/2024,0,6,3,M,0.775
3/22/2024,0,6,4,L,0.798
3/22/2024,0,6,4,L,0.833
3/22/2024,0,6,4,L,0.791
3/22/2024,0,6,5,L,0.772
3/22/2024,0,6,5,L,0.81
3/22/2024,0,6,5,L,0.791
3/22/2024,0,6,6,M,0.845
3/22/2024,0,6,6,M,0.789
3/22/2024,0,6,6,M,0.796
3/22/2024,0,6,7,S,0.801
3/22/2024,0,6,7,S,0.814
3/22/2024,0,6,7,S,0.782
3/22/2024,0,6,8,L,0.802
3/22/2024,0,6,8,L,0.774
3/22/2024,0,6,8,L,0.79
3/22/2024,0,6,9,L,0.807
3/22/2024,0,6,9,L,0.775
3/22/2024,0,6,9,L,0.777
3/22/2024,0,6,10,S,0.79
3/22/2024,0,6,10,S,0.795
3/22/2024,0,6,10,S,0.796
3/22/2024,0,6,11,M,0.828
3/22/2024,0,6,11,M,0.788
3/22/2024,0,6,11,M,0.772
3/22/2024,0,6,12,S,0.836
3/22/2024,0,6,12,S,0.784
3/22/2024,0,6,12,S,0.779
3/29/2024,7,1,1,L,0.789
3/29/2024,7,1,1,L,0.758
3/29/2024,7,1,1,L,0.786
3/29/2024,7,1,2,L,0.806
3/29/2024,7,1,2,L,0.786
3/29/2024,7,1,2,L,0.811
3/29/2024,7,1,3,M,0.821
